id,title,sub_title,science_name,plant_family,plant_function,dosage_usage,image_url
48,NGẢI CỨU,"Thuốc cứu, ngải diệp, nhả ngải (Tày), quá sú (H’mông), co linh li (Thái)",Artemisia vulgaris L.,Cúc (Asteraceae).,"Chỉ huyết, trừ hàn thấp, điều kinh, an thai. Chữa phong thấp, kinh nguyệt không đều, băng kinh, rong huyết, khí hư, bạch đới.","Ngày dùng: 6 - 12g, sắc hoặc hãm uống. Ngoài ra, còn dùng làm ngải nhung để làm thuốc cứu.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-ng%E1%BA%A3i-c%E1%BB%A9u.jpg
49,NGHỆ,"Nghệ vàng, Khương hoàng, Co hem, Co khản mỉn (Thái)",Curcuma longa L.,Gừng (Zingiberaceae),"Khương hoàng (củ cái) có tác dụng hành khí, phá huyết, thông kinh, chỉ thống, sinh cơ. Chữa kinh nguyệt không đều, bế kinh, ứ máu, vùng ngực bụng trướng đau tức, đau mạng sườn, sau khi đẻ máu xấu không ra, kết hòn đau bụng, viêm loét dạ dày, vết thương lâu liền miệng; Uất kim (củ nhánh) có tác dụng hành khí giải uất, hành huyết phá ứ, chỉ huyết, lợi mật. Chữa thổ huyết, ra máu cam, đái ra máu, huyết ứ, mạng sườn đau, viêm gan, hoàng đảm, xơ gan.","Khương hoàng ngày dùng 6 - 12g (dạng thuốc sắc hoặc bột), chia 2 - 3 lần; Uất kim ngày dùng 2 - 10g (dạng thuốc bột), chia 2 - 3 lần. Nghệ tươi giã nhỏ vắt lấy nước bôi vào mụn nhọt, viêm tấy lở loét ngoài da, bôi lên các mụn mới khỏi giúp chóng lên da non làm mờ sẹo.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-ngh%E1%BB%87.jpg
50,NGŨ GIA BÌ CHÂN CHIM,"Cây chân chim, Cây đáng, Cây lằng, Sâm non",Schefflera heptaphylla (L.) Frodin,Ngũ gia (Araliaceae).,"Khu phong, trừ thấp, mạnh gân cốt. Chữa đau lưng, đau xương do hàn thấp.","Ngày dùng 10 - 20g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-ng%C5%A9-gia-b%C3%AC-ch%C3%A2n-chim.jpg
51,NHÂN TRẦN,"Chè cát, chè nội, tuyến hương", Adenosma caeruleum R. Br.,Hoa mõm chó (Scrophulariaceae),"Thanh nhiệt, lợi thấp, thoái hoàng. Chữa viêm gan, viêm gan virus, viêm túi mật, vàng da, sốt nóng, tiểu tiện không thông, phụ nữ sau đẻ kém ăn.","Ngày dùng 10 - 15g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-nh%C3%A2n-tr%E1%BA%A7n.jpg
52,NHÓT,"Cây lót, hồi đồi tử",Elaeagnus latifolia L.,Nhót Eleaegnceae.,"Chỉ khát, bình suyễn, chỉ tả. Chữa hen suyễn, lỵ trực khuẩn và tiêu chảy.","Lá tươi 20 - 30g hoặc lá khô 6 - 12g, thái nhỏ sao vàng, sắc với 400ml nước còn 100ml chia 2 lần uống trong ngày. Rễ nấu nước tắm mụn nhọt.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-nh%C3%B3t.jpg
53,CÂY ỔI,"Ủi, phan thạch lựu.",Psidium guajava L.,Sim Myrtaceae.,"Sáp trường, chỉ tả. Chữa tiêu chảy.","Dùng quả xanh nhai, nuốt nước nhả bã, ngày dùng 15 - 20g búp non hay lá non, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-%E1%BB%95i-e1532270927665.jpg
54,PHÈN ĐEN,"Nỗ, Tạo phan diệp.",Phyllanthus reticulatus Poir.,Thầu dầu - Euphorbiaceae,"Sáp trường, chỉ tả. Chữa tiêu chảy.","Ngày dùng 15 - 20g búp non hay lá non, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-ph%C3%A8n-%C4%91en.jpg
55,QUÝT,"Quýt xiêm, quất thực",Citrus reticulata Blanco,Cam (Rutaceae),"Trần bì có tác dụng hành khí, táo thấp, hóa đờm. Chữa ăn không tiêu, đau bụng, nôn mửa, ho tức ngực, nhiều đờm. Thanh bì (vỏ quả còn xanh) có tác dụng sơ can, phá khí, tán kết, tiêu đờm. Chữa ngực sườn đau tức. Hạt quýt (quất hạch) có tác dụng hành khí, tán kết, chỉ thống. Chữa sa ruột, bìu sưng đau, đau lưng, viêm tuyến vú. Lá quýt (quất diệp) có tác dụng sơ can, hành khí, hóa đờm. Chữa ngực đau tức, ho, sưng vú.","Trần bì ngày dùng 4 - 12g, dạng sắc hoặc tán; Thanh bì ngày dùng 3 - 9g. Hạt quýt ngày dùng: 3 - 9g; lá quýt ngày dùng 10 - 20 lá, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-qu%C3%BDt-e1532271710756.jpg
56,RAU MÁ,Liên tiền thảo,Centella asiatica (L.) Urban,Hoa tán (Apiaceae),"Thanh nhiệt trừ thấp, giải độc, tiêu viêm. Chữa sốt, mụn nhọt, vàng da, thổ huyết, chảy máu cam, táo bón, ho, tiểu tiện rắt buốt.","Ngày dùng: 30 - 40g (tươi), vò nát, vắt lấy nước hoặc dạng khô sắc uống. Có thể dùng phối hợp với cỏ nhọ nồi có tác dụng cầm máu.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-rau-m%C3%A1.jpg
57,RÂU MÈO,Cây Bông bạc,Orthosiphon spiralis (Lour.) Merr.,Hoa môi - Lamiaceae.,"Thanh lợi thấp nhiệt, lợi tiểu. Chữa viêm thận, viêm bàng quang, sỏi thận, viêm gan.","Ngày dùng 5 - 6g, dạng thuốc sắc.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-r%C3%A2u-m%C3%A8o.jpg
58,RAU SAM,Mã xỉ hiện.,Portulaca oleracea L.,Rau sam (Portulacaceae).,"Thanh nhiệt giải độc, chỉ lỵ. Chữa mụn nhọt, nước ăn chân, kiết lỵ, tiểu buốt, tiểu ra máu.","Ngày dùng: 9 - 12g, dạng sắc. Dùng ngoài 30 - 60g tươi, giã đắp vào nơi bị bệnh.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-rau-sam.jpg
59,SẢ,SẢ,Cymbopogon spp.,Lúa (Poaceae).,"Phát hãn, lợi tiểu, hạ khí, tiêu đờm. Chữa cảm sốt, đau bụng, đầy hơi, trướng bụng, nôn mửa, ho nhiều đờm.","Ngày dùng: 6 - 9g (rễ), dạng hãm, sắc.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-s%E1%BA%A3.png
60,SÀI ĐẤT,"Cúc nháp, ngổ núi, tân sa",Wedelia chinensis (Osbeck) Merr.,Cúc (Asteraceae).,"Thanh nhiệt giải độc, tiêu viêm. Chữa viêm tấy, mụn nhọt, nhiễm trùng, chốc đầu, lở ngứa, dị ứng.","Ngày dùng 50 -100g (tươi), giã nát, hòa thêm nước gạn uống, bã đắp vào chỗ sưng tấy. Dùng dạng khô: 20 - 40g, sắc với 400ml nước đun sôi còn 100ml, uống làm 2-3 lần trong ngày. Trẻ em tùy tuổi, uống 1/3 - 1/2 liều người lớn.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-s%C3%A0i-%C4%91%E1%BA%A5t.jpg
61,SẮN DÂY,Cát căn,Pueraria montana (Lour.) Merr. var. chinensis (Ohwi) Maesen,Đậu (Fabaceae),"Giải cơ, thoái nhiệt, sinh tân, chỉ khát, thấu chẩn, chỉ tả. Chữa cảm sốt phong nhiệt, cổ gáy cứng đau, sởi, thủy đậu, ban chẩn mọc không đều, kiết lỵ kèm theo sốt, khát nước.","Ngày 9 - 15g, dạng sắc.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-s%E1%BA%AFn-d%C3%A2y.jpg
62,SIM,"Hồng sim, Đào kim nương.",Rhodomyrtus tomentosa (Ait.) Hassk.,Sim (Myrtaceae),"Chỉ huyết, lợi thấp, chỉ tả, giải độc. Chữa đau bụng, tiêu chảy, lỵ trực khuẩn.","Ngày dùng 8 - 16g, thái nhỏ, sắc với 200ml nước còn 50ml, chia 2 lần uống trong ngày. Dùng ngoài sắc lá, rửa vết thương.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-sim.jpg
63,THIÊN MÔN ĐÔNG,"Thiên môn, Thiên đông, Tóc tiên leo.",Asparagus cochinchinensis (Lour.) Merr.,Thiên môn đông (Asparagaceae).,"Tư âm, sinh tân, nhuận táo, thanh phế, hóa đàm. Chữa ho, sốt do phế nhiệt, tân dịch hao tổn, táo bón.","Ngày dùng 6 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-thi%C3%AAn-m%C3%B4n-%C4%91%C3%B4ng.jpg
64,TÍA TÔ,TÍA TÔ,Perilla frutescens (L.) Britt.,Bạc hà (Lamiaceae).,"Hành khí, khoan trung, chỉ thống, an thai. Chữa khí uất vùng ngực, ngực sườn đày tức, thượng vị đau, ợ hơi, nôn mửa. Lá và cành tía tô chữa động thai. Hạt tía tô (tô tử) giảm ho trừ đàm.","Ngày dùng 5 - 9g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-t%C3%ADa-t%C3%B4.jpg
65,TRẮC BÁCH DIỆP,"Trắc bá, bá tử, co tổng péc (Thái)",Platycladus oreintalis (L.) Franco,Hoàng đàn (Cupressaceae),"Lá sao cháy có tác dụng lương huyết, cầm máu, trừ thấp nhiệt. Chữa ho ra máu, đại tiểu tiện ra máu, chảy máu cam, rong kinh, rong huyết. Hạt trắc bách diệp (Bá tử nhân) có tác dụng bổ tâm, định thần, chỉ hãn, nhuận táo, thông tiện. Chữa hồi hộp, mất ngủ, hay quên, người yếu âm hư.","Ngày dùng 6 - 12g (lá), Bá tử nhân ngày dùng 4 - 12g. Trắc bách diệp sao cháy ngày dùng 10 - 20g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-tr%E1%BA%AFc-b%C3%A1ch-di%E1%BB%87p.jpg
66,TRINH NỮ HOÀNG CUNG,Tỏi lơi lá rộng.,Crinum latifolium L.,Thuỷ tiên (Amaryllidaceae).,"Tiêu ung, bài nùng. Hỗ trợ chữa ung thư vú, ung thư cổ tử cung, ung thư tuyến tiền liệt.","Ngày dùng 3 - 5g, sao vàng, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-trinh-n%E1%BB%AF-ho%C3%A0ng-cung.jpg
67,XẠ CAN,"Rẻ quạt, lưỡi đòng",Belamcanda chinensis (L.) DC.,La dơn (Iridaceae),"Thanh nhiệt giải độc, hóa đàm bình suyễn. Chữa viêm họng, viêm amydal có mủ, ho nhiều đờm, khản tiếng, viêm tắc tuyến vú, tắc tia sữa.","Ngày dùng 3 - 6g (dạng khô), sắc uống; 10 - 20g (thân rễ tươi) tươi rửa sạch, nhúng qua nước sôi, giã nát cho vài hạt muối, vắt lấy nước ngậm và nuốt dần, bã hơ nóng đắp vào cổ.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-x%E1%BA%A1-can.jpg
68,XÍCH ĐỒNG NAM,"Mò hoa đỏ, lẹo cái",Clerodendrum japonicum (Thunb.) Sweet,Cỏ roi ngựa - Verbenaceae.,"Hành khí, hoạt huyết, tiêu viêm, chỉ thống. Chữa khí hư, viêm cổ tử cung, kinh nguyệt không đều, vàng da, mụn lở, khớp xương đau nhức, đau lưng.","Ngày dùng 15 - 20g, sắc hoặc nấu cao uống. Lá tươi giã đắp hoặc ép lấy nước rửa vết thương, bỏng, mụn lở.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-x%C3%ADch-%C4%91%E1%BB%93ng-nam.jpg
69,XUYÊN TÂM LIÊN,"Công cộng, lãm hạch liên, khổ đảm thảo",Andrographis paniculata (Burm.f.) Nees,Ô rô (Acanthaceae),"Thanh nhiệt giải độc, tiêu viêm, chỉ thống. Chữa lỵ cấp tính, viêm dạ dày, cảm mạo, phát sốt, viêm họng, viêm Amydal, viêm gan virus, mụn nhọt.","Ngày dùng 4 - 16g, dạng sắc, tán.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-xuy%C3%AAn-t%C3%A2m-li%C3%AAn.jpg
70, Ý DĨ,"Bo bo, hạt cườm, cườm gạo",Coix lacryma-jobi L.,Lúa (Poaceae),"Kiện tỳ, bổ phế, thanh nhiệt, thẩm thấp. Chữa phù thũng, cước khí, ỉa chảy do tỳ hư, phong thấp lâu ngày không khỏi, gân cơ co quắp khó vận động.","Ngày dùng 8 - 30g, sắc uống, thường phối hợp với các vị thuốc khác.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-%C3%BD-d%C4%A9.jpg
